46086,"['32.499', '-118.052']"
46072,"['51.666', '-172.114']"
46088,"['48.332', '-123.179']"
51000,"['23.528', '-153.792']"
42020,"['26.968', '-96.693']"
46028,"['35.770', '-121.903']"
41009,"['28.508', '-80.185']"
46026,"['37.754', '-122.839']"
46089,"['45.936', '-125.793']"
51001,"['24.451', '-162.008']"
46042,"['36.785', '-122.396']"
46087,"['48.493', '-124.727']"
46027,"['41.840', '-124.382']"
45007,"['42.674', '-87.026']"
41008,"['31.400', '-80.866']"
41001,"['34.714', '-72.248']"
42019,"['27.910', '-95.345']"
46011,"['34.936', '-120.998']"
44007,"['43.525', '-70.140']"
44013,"['42.346', '-70.651']"
44025,"['40.251', '-73.164']"
46002,"['42.662', '-130.507']"
41046,"['23.822', '-68.384']"
42059,"['15.300', '-67.483']"
46069,"['33.677', '-120.213']"
45012,"['43.621', '-77.401']"
42002,"['26.055', '-93.646']"
46066,"['52.765', '-155.009']"
46059,"['38.053', '-129.967']"
41049,"['27.490', '-62.938']"
42060,"['16.434', '-63.329']"
41004,"['32.502', '-79.099']"
45002,"['45.344', '-86.411']"
46025,"['33.755', '-119.045']"
45005,"['41.677', '-82.398']"
42012,"['30.060', '-87.548']"
46071,"['51.022', '179.784']"
46078,"['55.557', '-152.641']"
51004,"['17.538', '-152.230']"
46047,"['32.388', '-119.525']"
51003,"['19.196', '-160.639']"
45003,"['45.351', '-82.840']"
46012,"['37.356', '-122.881']"
41002,"['31.759', '-74.936']"
46015,"['42.752', '-124.844']"
51002,"['17.042', '-157.746']"
42040,"['29.207', '-88.237']"
46084,"['56.622', '-136.102']"
44066,"['39.618', '-72.644']"
44027,"['44.283', '-67.300']"
44020,"['41.493', '-70.279']"
44011,"['41.093', '-66.562']"
51101,"['24.359', '-162.081']"
41044,"['21.582', '-58.630']"
46053,"['34.241', '-119.839']"
46054,"['34.274', '-120.468']"
41043,"['21.026', '-64.793']"
41010,"['28.878', '-78.485']"
42001,"['25.919', '-89.674']"
42039,"['28.787', '-86.007']"
